Capability,Status,Evidence,Package,RequiresUBTECH,RequiresCustomDevelopment,HardwareDependency,ProjectImpact,RecommendedNextStep
"D.Visión - nube de puntos","Confirmada y disponible","SDK PDF topic /sensor/camera/stereo/pointcloud/raw","SDK","No","Sí","Estéreo calibrado","Base de localización 3D explícita","Verificar frame, densidad y sincronización"
"D.Visión - calibración intrínseca","Confirmada y disponible","SDK PDF CameraInfo para RGBD/estéreo","SDK","No","Sí","Calibración por unidad","Necesaria para métricas 3D","Capturar CameraInfo y verificar reproyección"
"D.Visión - calibración extrínseca","Confirmada, pero requiere configuración","SDK PDF sección 1.4.2; drivers.metafile.yml:63-68 calibration_node","SDK + uDoke","Sí","Sí","Cadena TF/calibración del robot","Error extrínseco se convierte en error de agarre","Hacer hand-eye/TCP calibration y guardar incertidumbre"
"D.Visión - transformaciones TF","Confirmada, pero requiere configuración","system.metafile.yml:2-20 usa STATIC_TF_CHAIN_FILE; SDK PDF tabla de extrínsecos","uDoke + SDK","Sí","Sí","Archivo por robot","Cadena disponible pero debe verificarse tras cambio de efector","Auditar árbol TF y timestamp bajo carga"
"D.Visión - detección de objetos","Parcial","box_pose_estimation.metafile.yml:1-12 configura box_pose_estimator_node; no se exponen contrato ni métricas","uDoke","Sí","Sí","GPU, modelo/config BYD y cámara","Hay componente cerrado, no evidencia de generalización a cajas de La Palma","Solicitar API/model card y probar dataset del cliente"
"D.Visión - segmentación","No encontrada","No se identificó interfaz o modelo de segmentación integrado en la misión","Todos","Sí","Sí","GPU/cámara si se desarrolla","Puede ser necesaria para cajas apiladas/oclusiones","Definir método de percepción y dataset"
"D.Visión - pose 6D","Confirmada, pero requiere configuración","box_pose_estimation.metafile.yml:2-12; imagen vision etiqueta pose_6d_estimation 1.1.4","uDoke","Sí","Sí","Orin GPU y config/model exactos","Prometedor para pregrasp, pero es variante BYD/walker_s2 no validada","Obtener topics, frames, clases, licencia y precisión"
"D.Visión - punto de agarre 3D","Requiere desarrollo propio","No se encontró cálculo de grasp pose/TCP desde pose 6D o point cloud","Todos","Sí","Sí","Modelo de caja y efector","Bloqueador directo de pick autónomo","Desarrollar grasp planner con tolerancias y validación"
"D.Visión - seguimiento","No encontrada","No se encontró tracker de caja integrado ni contrato de seguimiento","Todos","Sí","Sí","Cámara/GPU","Afecta base/cinta/objetos móviles","Definir si la cinta se detiene o integrar tracking"
"D.Visión - modelos disponibles","Parcial","Checkpoint GR00T incluido; imagen uDoke tiene nav_model y pose 6D, pero modelos cerrados sin model cards","VLA + uDoke","Sí","No","Orin GPU","Hay artefactos, falta alcance/licencia/métricas","Pedir BOM y model cards de cada modelo"
"D.Visión - datos de entrenamiento","Confirmada y disponible","dataset meta/info.json:2-112; 500 Parquet + 500 MP4","VLA","No","Sí","Almacenamiento y GPU para uso","Permite estudiar/fine-tune del demo","Auditar calidad, consentimiento/licencia y crear val/test"
"E.Manipulación - pick-and-place","Parcial","Cuatro tareas en meta/tasks.jsonl:1-4 y tutorial VLA SDK PDF sección 7.3","VLA + SDK","Sí","Sí","Clamp/efector y escena equivalente","Sólo demo condicionado; no misión completa","Reproducir en jaula de pruebas con métricas"
"E.Manipulación - levantamiento de cajas","Parcial","SDK PDF sección 7.3 fija caja 60x40x22 cm a 1 m; dataset de pick/place","VLA","Sí","Sí","Clamp y caja equivalentes","Evidencia de intención/datos, no de tasa de éxito ni peso","Solicitar lifting box process test y vídeo/logs"
"E.Manipulación - agarre bimanual","Parcial","Acciones de ambos brazos en meta/info.json:91-105; no hay acción de pinza/clamp","VLA","Sí","Sí","Placas clamp o efector adaptado","Coordinación articular sí; cierre/verificación de agarre no","Definir mecánica, reparto de fuerza y estado de agarre"
"E.Manipulación - transportar caja moviendo base","No encontrada","El VLA no acciona ruedas y el tutorial exige colocar la base manualmente antes de inferir","VLA","Sí","Sí","Base, carga y safety scanner","Paso esencial de La Palma no implementado","Diseñar coordinación secuencial base-brazos y probar estabilidad"
"E.Manipulación - inclinación/vaciado","No encontrada","No existe tarea, trayectoria, dataset ni política de volcado","Todos","Sí","Sí","Caja/efector/cinta y contención","Bloqueador central del caso de uso","Prototipar offline, calcular CoG/torques y entrenar/planificar"
"E.Manipulación - colocación sobre palés","No encontrada","Dataset sólo estantes; no hay pallet detection/pose/stack planner","VLA","Sí","Sí","Palés y visión","No cubre toma/deposición real del cliente","Crear percepción y planner específicos de palé"
"E.Manipulación - detección de fallo de agarre","Parcial","GripStatus contempla dropped; VLA no integra GripStatus ni F/T","SDK + VLA","No","Sí","PGC/F-T","La señal existe, la misión no reacciona","Añadir supervisor y ensayos de slip/drop"
"E.Manipulación - recuperación ante errores","No encontrada","Action VLA marca succeed incluso con resultado failure gr00t_inference.py:240-251; no hay recovery tree","VLA","Sí","Sí","Estado de robot/efector/celda","Fallo puede quedar falsamente exitoso","Corregir semántica y diseñar recoveries seguros"
"E.Manipulación - repetibilidad","Requiere soporte de UBTECH","No hay resultados estadísticos, tolerancias ni test/validation split","Todos","Sí","Sí","Robot, caja y entorno","No se puede estimar OEE ni calidad","Exigir ≥100 ciclos por variante y reporte de errores"
"E.Manipulación - ejemplo completo","Parcial","SDK PDF tutorial 7.3 + imágenes/dataset/checkpoint; requiere posicionamiento manual y varios terminales","SDK + VLA","Sí","Sí","Robot/config/efector coincidentes","Es un ejemplo de laboratorio, no flujo pallet-cinta-pallet","Solicitar demo end-to-end reproducible y versión homologada"
"F.Programación - SDK explícito","Confirmada y disponible","SDK demo y ubt_api_tiny C++/Python; /mc/sdk y cc.api","SDK","No","Sí","Robot en developer mode","Permite construir orquestación propia","Adoptar API alta para misión y encapsular low-level"
"F.Programación - reproducción de trayectorias","Confirmada y disponible","SDK PDF 7.1.2.2 manipulation_outline_sdk player","SDK","No","Sí","Stack manipulation en motion","Útil para poses y secuencias fijas","Validar versionado, límites y cancelación"
"F.Programación - teaching points","Parcial","Web mapping permite puntos de navegación; no se encontró guiado manual/gravity compensation de brazos","SDK","Sí","Sí","Interfaz de enseñanza","Waypoints sí, teaching manipulador no demostrado","Pedir método oficial de hand-guiding/pose teaching"
"F.Programación - teleoperación","Confirmada, pero requiere configuración","SDK PDF 7.1; motion.metafile.yml:11,31-45","SDK + uDoke","Sí","Sí","Pico/VR/Xsens/exoesqueleto y signal_server","Permite capturar demostraciones si se entrega el hardware/SOP","Confirmar licencias, kit y latencia"
"F.Programación - programación por demostración","Parcial","SDK PDF record/player/editor 7.1.2.1-7.1.2.3; data_config.py:859-939 variante teleop","SDK + VLA","Sí","Sí","Sistema teleop y conversor de datos","Hay piezas, no pipeline completo motion→LeRobot incluido","Pedir herramienta de conversión y procedimiento validado"
"F.Programación - imitación","Confirmada, pero requiere configuración","gr00t_finetune.py:194-267,344-404; checkpoint GR00T","VLA","Sí","Sí","GPU de entrenamiento y dataset","Permite adaptar conducta a demostraciones","Crear val/test y gobernanza de modelos"
"F.Programación - VLA","Confirmada, pero requiere configuración","gr00t_inference.py:22-120; model_interface_general_ros2.py:61-68","VLA","Sí","Sí","Jetson Orin CUDA","Inferencia local disponible como demo","Resolver incompatibilidades y añadir supervisor seguro"
"F.Programación - aprendizaje por visión","Confirmada, pero requiere configuración","data_config.py:773-857 usa RGB + lenguaje + estado/acción","VLA","Sí","Sí","GPU y dataset de planta","Modelo aprende acciones a partir de RGB","Capturar variabilidad real e incluir validación"
"F.Programación - fine-tuning","Confirmada y disponible","gr00t_finetune.py:36-135,260-267,357-459","VLA","Sí","Sí","GPU CUDA externa; VRAM no documentada","Código existe, entorno/hardware no especificado","Pedir receta exacta, GPU/VRAM y locks"
"F.Programación - chaleco/exoesqueleto/captura","Parcial","SDK PDF enumera pico, vr, xsens, exoskeleton; motion.metafile.yml:31-45 VRPN/rtm_receiver","SDK + uDoke","Sí","Sí","Dispositivo externo y licencias","Posible adquisición, no incluido ni validado","Solicitar BOM de hardware y compatibilidad por efector"
"F.Programación - simulación","Parcial","URDF y USD entregados; no hay transmisión ros2_control, MoveIt config ni escenario/launch Isaac Sim","SDK","Sí","Sí","Estación GPU/simulador","Visualización posible; sim-to-real y control no listos","Pedir paquete de simulación oficial y parámetros dinámicos"
"F.Programación - generación/reproducción datasets","Parcial","SDK record/player/editor; dataset LeRobot; falta conversor y herramienta de etiquetado end-to-end","SDK + VLA","Sí","Sí","Teleop y almacenamiento","Se puede construir pipeline con desarrollo","Solicitar recorder LeRobot oficial y esquema sincronizado"
"G.Industrial - entradas/salidas digitales","No encontrada","No se halló API GPIO/digital I/O de usuario","Todos","Sí","Sí","Módulo I/O externo","Necesario para handshakes de máquina","Seleccionar I/O/PLC de seguridad externo"
"G.Industrial - PLC","No encontrada","No hay cliente/servidor PLC de misión en archivos","Todos","Sí","Sí","PLC externo","Bloquea integración US/Polonia","Definir protocolo, señales y ownership"
"G.Industrial - OPC UA","No encontrada","Sin referencias de integración OPC UA","Todos","No","Sí","Gateway/PLC","No existe interfaz estándar de fábrica","Implementar gateway si el cliente lo exige"
"G.Industrial - Modbus","No encontrada","Sin referencias de integración Modbus","Todos","No","Sí","Gateway/PLC","No existe interfaz estándar de máquina","Implementar gateway o usar PLC"
"G.Industrial - TCP/IP","Confirmada y disponible","SDK PDF ControlCenter TCP 51000; system.metafile.yml:71-86","SDK + uDoke","No","Sí","LAN aislada","Base para orquestación no safety","Autenticar, segmentar y especificar protocolo"
"G.Industrial - REST","Parcial","Código GR00T vendorizado eval/http_server.py:3-85 y map HTTP interno; no está integrado en misión","VLA + uDoke","Sí","Sí","Red/servidor","No es API industrial lista","No exponer; crear gateway autenticado si es necesario"
"G.Industrial - ROS bridge","Confirmada, pero requiere configuración","vision/.metafiles/web.metafile.yml:18-29 rosbridge websocket","uDoke","Sí","Sí","Red ROS 2","Facilita integración pero amplía superficie de ataque","Restringir interfaz, autenticación y ACL"
"G.Industrial - accionar pulsadores/máquinas","Requiere desarrollo propio","No hay skills, tooling ni interfaz de máquina específica","Todos","Sí","Sí","Tooling físico o PLC/I/O","Los casos US/Polonia no están cubiertos","Preferir handshake eléctrico/PLC a pulsación física"
"G.Industrial - señales de ciclo","Requiere desarrollo propio","No se encontró state machine/handshake de célula","Todos","Sí","Sí","PLC/I/O","Necesarias para ciclo automático y recuperación","Especificar ISA-88/PackML-like states y timeouts"
"G.Industrial - seguridad industrial","No encontrada","Sólo E-stop de robot y avisos; sin safety PLC/scanner/PL/SIL","Todos","Sí","Sí","Safety PLC, scanners, fencing/interlocks","Impide operación industrial autónoma con personas","Realizar risk assessment ISO 12100/10218 y diseño CE/local"
"G.Industrial - parada de emergencia","Parcial","SDK PDF confirma botón físico posterior; no hay circuito/API de integración de célula","SDK","Sí","Sí","E-stop/cadena safety externa","No basta para una célula industrial","Solicitar arquitectura eléctrica y añadir E-stops de celda"
"G.Industrial - zonas de trabajo","No encontrada","No hay zonas safety, speed-and-separation o geofencing validado","Todos","Sí","Sí","Scanners/control safety","Bloquea colaboración segura","Diseñar zonas y validación independiente"
"H.Operación - software propio","Confirmada y disponible","SDK PDF recomienda contenedores Ubuntu 22.04/Humble; API wheels/libs para dos arquitecturas","SDK","No","Sí","Acceso a Orin/x86","Despliegue posible en contenedor de developer","Crear imagen inmutable propia y contrato de interfaces"
"H.Operación - arranque automático","Parcial","uDoke restart always y metafiles; contenedores VLA se arrancan manualmente según tutorial","uDoke + VLA","Sí","Sí","uDoke/systemd","Misión VLA no arranca como servicio gestionado","Integrar servicios con healthchecks y orden de arranque"
"H.Operación - actualización","Confirmada, pero requiere configuración","SDK Upgrade SOP; replace.json:2-37; uDoke 0.8.7","SDK + uDoke","Sí","Sí","Paquetes oficiales y acceso administrativo","Existe proceso, pero modifica profundamente el host","Ensayar en clon, verificar firmas y ventana de mantenimiento"
"H.Operación - rollback","No encontrada","No hay manifiesto/procedimiento de rollback o backup verificado","uDoke","Sí","Sí","Imagen de disco/backup","Una actualización fallida puede inmovilizar el robot","Exigir rollback oficial y practicar restore"
"H.Operación - logs","Confirmada, pero requiere configuración","ROSA_LOG_DIR en metafiles; loglect/log-agent/Loki incluidos","uDoke","No","Sí","Almacenamiento/retención","Buena base de diagnóstico","Definir correlación de misión, retención y exportación"
"H.Operación - monitorización","Confirmada, pero requiere configuración","motion/.metafiles/monitor.metafile.yml:1-23; Netdata/Loki incluidos","uDoke","No","Sí","Red/almacenamiento","Telemetría de host disponible; privilegios elevados","Restringir acceso y añadir KPIs de robot/misión"
"H.Operación - diagnóstico","Confirmada, pero requiere configuración","system.metafile.yml:92-120 self_check; SDK API fault current/subscribe","SDK + uDoke","No","Sí","Servicios base activos","Permite integrar health supervision","Documentar códigos y políticas de recuperación"
"H.Operación - recuperación","Parcial","Fallos de servo y self-check documentados; no hay recovery de misión ni rollback","SDK + uDoke + VLA","Sí","Sí","Operador y acceso service","Requiere diseño para producción desatendida","Crear estados safe-stop/retry/manual-intervention"
"H.Operación - licencias/funciones de pago","Requiere soporte de UBTECH","No hay licencia global para SDK, dataset, checkpoint, imágenes o teleop","Todos","Sí","No","Contrato/licencias UBTECH/NVIDIA","Puede impedir despliegue comercial/redistribución","Obtener derechos escritos, costes y soporte de ciclo de vida"
